      Time    Hgtkm GeocenLat  Lon(East)   DensMean   PresMean    Tmean   EWmean   NSmean   DensPert   PresPert    Tpert   EWpert  NSpert SDden% SDprs% SDtemK SDuwnd SDvwnd SDwwnd Wpert SpdAvg  SpdStd SOSmean SOSpert Sev
      0.00  140.000   0.45000 -164.53000 4.4059e-009 9.9656e-004  690.23   20.45    0.31 4.7679e-009 9.4098e-004  602.27   91.47  -69.41   7.20  12.50 100.77  69.00  69.00   8.33  -3.45  78.61  61.33  562.72  525.64   0
     60.00  138.000   0.85000 -163.33000 5.0219e-009 1.0850e-003  662.03   17.48    0.51 5.2715e-009 1.0024e-003  582.64   60.84  -41.21   7.27  13.20 101.78  66.36  66.20   8.16  -4.10  74.98  58.91  549.98  515.95   0
    120.00  136.000   1.25000 -162.13000 5.7642e-009 1.1862e-003  633.20   14.02    0.59 5.7464e-009 1.1160e-003  597.55   36.76  -36.88   7.35  13.86 102.02  63.64  63.30   7.99   8.50  71.22  56.42  536.75  521.42   0
    180.00  134.000   1.65000 -160.93000 6.6673e-009 1.3028e-003  603.80   10.08    0.59 6.6018e-009 1.2079e-003  565.37   31.14  -42.72   7.42  14.49 101.53  60.83  60.31   7.82   9.04  67.38  53.83  523.03  506.11   0
    240.00  132.000   2.05000 -159.73000 7.7777e-009 1.4382e-003  573.92    5.70    0.52 7.6575e-009 1.3365e-003  541.67   17.52   13.41   7.49  15.09 100.39  57.90  57.19   7.65   9.05  63.56  51.15  508.81  494.31   0
    300.00  130.000   2.45000 -158.53000 9.1586e-009 1.5971e-003  543.64    0.96    0.40 9.2883e-009 1.4459e-003  485.31  -17.91   20.16   7.56  15.67  98.64  54.85  53.92   7.48   7.72  59.84  48.34  494.10  466.84   0
    360.00  128.000   2.85000 -157.33000 1.0897e-008 1.7852e-003  513.08   -4.04    0.26 1.0765e-008 1.7612e-003  512.38   -8.45   22.39   7.63  16.23  96.32  51.66  50.49   7.31   7.13  56.33  45.40  478.91  478.58   0
    420.00  126.000   3.25000 -156.13000 1.3117e-008 2.0105e-003  482.33   -9.15    0.11 1.2282e-008 2.0215e-003  517.92  -28.67   -8.22   7.70  16.77  93.48  48.28  46.85   7.14   6.55  53.12  42.28  463.24  480.02   0
    480.00  124.000   3.65000 -154.93000 1.5994e-008 2.2837e-003  451.51  -14.19   -0.03 1.4123e-008 2.3597e-003  528.34   -1.80   11.13   7.77  17.30  90.17  44.69  42.94   6.97   3.45  50.25  38.95  447.11  483.65   0
    540.00  122.000   4.05000 -153.73000 1.9776e-008 2.6195e-003  420.96  -18.96   -0.15 1.9971e-008 2.2212e-003  353.47  -37.12   -4.03   7.83  17.81  86.48  40.83  38.70   6.80   3.04  47.69  35.36  430.63  394.60   0
    600.00  120.000   4.45000 -152.53000 2.4813e-008 3.0381e-003  391.14  -23.26   -0.25 2.3941e-008 2.7224e-003  363.26  -28.42  -12.38   7.90  18.30  82.53  36.60  33.99   6.63  -0.92  45.28  31.39  414.02  399.00   0
    660.00  118.000   4.85000 -151.33000 3.1544e-008 3.5586e-003  362.27  -26.54   -0.34 2.8032e-008 3.5778e-003  409.86  -53.03   21.14   8.71  17.79  71.77  36.17  37.51   6.49   5.68  48.45  32.75  397.41  422.71   0
    720.00  116.000   5.25000 -150.13000 4.0626e-008 4.2072e-003  334.29  -28.14   -0.46 3.4432e-008 4.2452e-003  397.98  -35.46   55.69   9.45  17.27  61.61  35.71  40.57   6.36  -1.85  50.59  33.97  380.77  415.46   0
    780.00  114.000   5.65000 -148.93000 5.3200e-008 5.0374e-003  307.30  -27.95   -0.64 4.7577e-008 4.8507e-003  330.88  -31.72   24.16  10.21  16.77  52.47  37.08  42.05   6.22   2.10  51.80  35.23  364.09  377.81   0
    840.00  112.000   6.05000 -147.73000 7.1147e-008 6.1342e-003  281.47  -26.01   -0.89 5.9527e-008 5.5751e-003  305.75  -34.79   31.77  10.98  16.29  44.33  39.91  42.33   6.09  -2.25  52.20  36.57  347.43  362.10   0
    900.00  110.000   6.45000 -146.53000 9.7908e-008 7.6369e-003  256.31  -22.71   -1.27 7.6859e-008 6.5414e-003  279.67  -46.05   95.69  11.70  15.80  36.65  42.33  42.72   5.95   0.22  52.02  37.80  330.46  345.19   0
    960.00  108.000   6.85000 -145.33000 1.3670e-007 9.7576e-003  236.08  -17.99   -1.78 1.2519e-007 8.1104e-003  214.27  -31.99   70.50  12.45  15.29  30.80  39.05  41.86   5.81   1.48  48.06  35.98  316.12  301.16   0
   1020.00  106.000   7.25000 -144.13000 1.9552e-007 1.2808e-002  218.13  -12.73   -2.43 1.5954e-007 1.0586e-002  220.95  -12.13   49.41  13.16  14.77  25.43  35.77  41.08   5.68   0.95  44.30  34.23  302.83  304.78   0
   1080.00  104.000   7.65000 -142.93000 2.8394e-007 1.7282e-002  204.10   -8.09   -3.23 2.4308e-007 1.4171e-002  195.49    0.72   11.11  13.90  14.25  21.04  37.13  40.52   5.54   0.69  43.62  34.54  291.91  285.69   0
   1140.00  102.000   8.05000 -141.73000 4.1385e-007 2.3846e-002  194.53   -4.80   -4.15 3.1860e-007 1.8581e-002  196.90    7.19   19.42  14.67  13.73  17.54  42.42  40.20   5.40   1.35  45.89  36.73  284.02  285.74   0
   1200.00  100.000   8.45000 -140.53000 6.0943e-007 3.3513e-002  186.92   -2.74   -5.16 4.2093e-007 2.4148e-002  194.99    2.57   68.33  15.40  13.20  14.02  47.02  40.00   5.26  -4.01  48.37  38.79  277.47  283.40   0
   1260.00   98.000   8.85000 -139.33000 8.8752e-007 4.7755e-002  183.88   -2.12   -5.96 7.9259e-007 3.9768e-002  171.47    1.56   46.45  14.76  13.66  14.17  46.38  37.01   5.16  -9.67  46.58  37.29  274.46  265.04   0
   1320.00   96.000   9.25000 -138.13000 1.2906e-006 6.8407e-002  182.10   -2.32   -6.47 1.1237e-006 5.6800e-002  173.65   23.34   24.54  14.10  14.16  14.39  45.69  33.46   5.06  -5.43  44.58  35.59  272.41  266.02   0
   1380.00   94.000   9.65000 -136.93000 1.8719e-006 9.9068e-002  182.59   -3.63   -6.84 1.6747e-006 8.3613e-002  172.26   15.79   31.13  13.45  14.71  14.83  47.01  32.13   4.96  -1.64  44.96  35.79  272.20  264.39   0
   1440.00   92.000  10.05000 -135.73000 2.6950e-006 1.4414e-001  185.12   -5.52   -7.01 2.4707e-006 1.2731e-001  178.34  -11.26   22.25  12.81  15.29  15.48  49.90  33.50   4.85  -1.38  47.59  37.77  273.64  268.59   0
   1500.00   90.000  10.45000 -134.53000 3.8446e-006 2.0815e-001  188.00   -6.55   -6.73 3.4478e-006 1.8989e-001  191.25   -6.86   36.91  12.14  15.76  16.14  52.32  34.80   4.75  -3.17  49.77  39.49  275.31  277.68   0
   1560.00   88.000  10.85000 -133.33000 5.3673e-006 2.9567e-001  191.50   -3.75   -5.10 4.5024e-006 2.6592e-001  205.32  -15.59   23.15  10.18  13.11  13.97  50.95  36.45   4.49  -0.30  49.13  39.37  277.71  287.55   0
   1620.00   86.000  11.25000 -132.13000 7.4491e-006 4.1743e-001  195.01   -0.93   -3.61 6.6918e-006 3.9362e-001  204.70   36.07   28.93   7.71   9.84  11.20  49.90  37.79   4.22   5.64  48.83  39.34  280.09  286.97   0
   1680.00   84.000  11.65000 -130.93000 1.0266e-005 5.8439e-001  198.22    1.60   -2.90 9.9814e-006 5.7302e-001  199.91   58.46  -22.51   5.86   7.33   9.13  47.59  36.31   3.93  -2.79  46.68  37.62  282.30  283.50   0
   1740.00   82.000  12.05000 -129.73000 1.4068e-005 8.1207e-001  201.03    4.13   -2.98 1.3505e-005 8.0267e-001  206.99   58.65   -9.10   5.34   6.51   8.50  43.52  31.92   3.62  -3.99  42.29  33.92  284.28  288.46   0
   1800.00   80.000  12.45000 -128.53000 1.9203e-005 1.1235e+000  203.76    7.07   -3.19 1.8793e-005 1.1210e+000  207.77   53.78  -15.42   4.76   5.58   7.79  39.10  26.93   3.30  -4.87  37.73  29.84  286.19  288.99   0
   1860.00   78.000  12.85000 -127.33000 2.6179e-005 1.5487e+000  206.03   13.56   -1.05 2.6142e-005 1.5640e+000  208.37   24.69  -11.15   4.68   5.54   7.83  38.03  25.76   2.98  -4.08  38.23  28.87  287.79  289.42   0
   1920.00   76.000  13.25000 -126.13000 3.5588e-005 2.1284e+000  208.28   20.06    0.84 3.6428e-005 2.1671e+000  207.17   21.75   -0.81   4.59   5.51   7.87  36.86  24.57   2.67   0.86  39.88  27.84  289.36  288.59   0
   1980.00   74.000  13.65000 -124.93000 4.8046e-005 2.9186e+000  211.57   25.43    1.51 5.0239e-005 3.0190e+000  209.29   29.20    4.13   4.43   5.26   7.63  35.54  22.44   2.39  -0.18  41.45  26.42  291.62  290.05   0
   2040.00   72.000  14.05000 -123.73000 6.4285e-005 3.9834e+000  215.86   29.72    1.14 6.4572e-005 4.1047e+000  221.45   31.22    8.97   4.17   4.73   7.05  34.17  18.99   2.15   1.47  42.53  24.57  294.53  298.32   0
   2100.00   70.000  14.45000 -122.53000 8.5552e-005 5.4040e+000  220.11   34.07    0.81 8.7401e-005 5.5790e+000  222.43   45.55    4.40   3.88   4.13   6.35  32.80  14.74   1.91   1.70  44.09  22.60  297.38  298.94   0
   2160.00   68.000  14.85000 -121.33000 1.1209e-004 7.2811e+000  226.37   35.10    0.59 1.1025e-004 7.4585e+000  235.75   58.74   -5.98   4.00   4.04   6.31  30.37  15.01   1.76  -0.26  43.90  21.29  301.57  307.76   0
